2025-07-24 15:34:23.857 INFO  [main:31] Creating /opt/appl/data/apps/apps_data/can-logger/resources/settings.json with default settings
2025-07-24 20:02:22.954 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:03:22.954 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:04:22.955 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:05:22.955 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:06:22.955 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:07:22.956 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:08:22.957 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:09:22.958 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:10:22.958 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:11:22.959 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:12:22.959 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:13:22.960 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:14:22.960 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:15:22.960 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:16:22.961 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:17:22.961 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:18:22.962 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:19:22.962 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:20:22.963 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:21:22.963 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:22:22.964 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:23:22.964 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:24:22.965 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:25:22.965 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:26:22.966 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:27:22.966 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:28:22.967 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:29:22.967 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:30:22.968 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:31:22.968 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:32:22.969 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:33:22.969 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:34:22.970 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:35:22.970 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:36:22.970 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:37:22.971 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:38:22.971 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:39:22.972 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:40:22.973 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:41:22.974 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:42:22.974 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:43:22.974 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:44:22.975 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:45:22.975 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:46:22.976 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:47:22.976 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:48:22.977 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:49:22.977 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:50:22.978 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:51:22.978 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:52:22.979 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:53:22.979 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:54:22.980 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:55:22.980 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:56:22.981 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:57:22.981 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:58:22.982 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:59:22.982 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:00:22.982 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:01:22.983 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:02:22.983 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:03:22.984 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:04:22.984 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:05:22.985 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:06:22.985 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:07:22.986 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:08:22.986 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:09:22.987 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:10:22.988 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:11:22.988 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:12:22.989 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:13:22.990 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:14:22.990 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:15:22.990 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:16:22.991 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:17:22.991 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:18:22.992 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:19:22.993 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:20:22.994 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:21:22.994 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:22:22.994 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:23:22.995 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:24:22.995 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:25:22.996 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:26:22.996 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:27:22.997 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:28:22.997 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:29:22.998 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:30:22.999 INFO  [main:65] wakeup, mExit: 0
2025-07-24 21:31:22.999 INFO  [main:65] wakeup, mExit: 0
